'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Colonna 25,Principale1,Principale2,Principale3,Principale4,Cluster
170344,170340,31144,31140,200,43,4471580,94884,1259568,597900,891332,4471580,8159224,459632,0,134504,29956,116216,8024,365692,1530,91,4.92656135491711,27.1902212208402,-3.32616923717068,-2.8606514335837,15
170344,170340,31148,31140,200,26,4720436,97808,1064968,366496,880988,4720436,8159224,192588,0,84604,24312,109564,7576,315392,1530,92,-0.128481436916232,5.3133507262776,-1.06846290647143,0.0614180264381359,4
170344,170340,31208,31140,200,13,4709868,97944,1075684,376648,882056,4709868,8159224,119972,0,85176,24272,109568,7704,317992,1530,93,0.0526366682665085,3.72777411100645,-1.36265629288173,0.507490258146348,4
170344,170340,31916,31912,200,9,4699488,98052,1084804,386696,882460,4699488,8159224,107284,0,86152,24092,109392,7620,319664,1020,94,0.429651550352325,3.05302141353724,-2.04715495504498,-0.961591460042943,4
170344,170340,31920,31912,200,37,4689572,98160,1094124,395720,882812,4689572,8159224,77100,0,86132,24168,109424,7608,317620,1530,95,0.440627277109193,2.76996538288341,0.0475571665021652,0.196403702016574,10
170344,170340,31920,31912,200,51,4673128,98276,1110480,406568,888336,4673128,8159224,57796,0,86164,23948,109840,7320,319164,1530,96,0.617258940507675,2.17228986923119,0.858658423767356,0.0181390430010895,10
170344,170340,31920,31912,200,45,4667772,98440,1117028,407616,892048,4667772,8159224,43668,0,84208,23740,109340,7208,317168,1530,97,0.512030982949028,1.21973032010327,0.69846853404338,0.241319277389149,10
170344,170340,31920,31912,200,30,4668884,98536,1117028,407620,892152,4668884,8159224,35060,0,84208,23740,109240,7204,314764,1530,98,0.41419960406153,0.847429001539631,0.0131150869635532,0.559774015249203,6
170344,170340,31920,31912,200,25,4668808,98624,1117028,407620,892240,4668808,8159224,26764,0,84208,23740,109296,7208,316832,1530,99,0.48863338340179,0.726890577727339,-0.20056976161887,0.666873537691775,6
170344,170340,31948,31912,200,14,4669144,98728,1117028,407616,892344,4669144,8159224,18480,0,84204,23740,109156,7208,316736,1530,100,0.482243045671886,0.481208298154435,-0.70022224331731,0.897585406688317,5
170344,170340,31948,31912,200,9,4668936,98824,1117028,407620,892440,4668936,8159224,18464,0,84208,23740,109092,7208,316448,1530,101,0.470747325286801,0.445067869686,-0.944936422825562,0.992313955377399,5
170344,170340,31948,31912,200,62,4668636,98928,1117028,407616,892536,4668636,8159224,14372,0,84204,23740,109108,7208,314192,1530,102,0.404948002114061,0.496725677404356,1.69144436283984,0.0298973738620569,11
170344,170340,31948,31912,200,53,4668336,99024,1117028,407616,892632,4668336,8159224,10352,0,84204,23740,109172,7208,316248,1530,103,0.479329140028632,0.454387396244911,1.25999077295547,0.198636621379547,11
170344,170340,31948,31912,200,36,4668472,99120,1117028,407620,892736,4668472,8159224,6216,0,84208,23740,109088,7204,318304,1530,104,0.54843030147962,0.372944720640092,0.435627618128453,0.516627278024033,6
170344,170340,31948,31912,200,27,4668544,99224,1117028,407620,892832,4668544,8159224,1944,0,84208,23740,109120,7208,316128,1530,105,0.465882236322223,0.137018151142669,0.023008923965568,0.70903917940213,6
170344,170340,31948,31912,200,12,4668532,99320,1117028,407624,892932,4668532,8159224,32,0,84208,23740,109188,7204,316032,1530,106,0.459145598748798,0.0193463159066809,-0.704996743736216,0.994801329232126,5
170344,170340,31948,31912,200,9,4668440,99416,1117028,407624,893028,4668440,8159224,32,0,84208,23740,109080,7204,316072,1530,107,0.45937233708289,0.00697472437948932,-0.852718021177126,1.05049468865019,5
170344,170340,31948,31912,200,9,4668456,99520,1117028,407624,893132,4668456,8159224,32,0,84208,23740,109016,7204,316072,1530,108,0.459474022581716,0.00672617227438366,-0.852722865472243,1.05054048163691,5
170344,170340,31948,31912,200,61,4667784,99616,1117028,407620,893228,4667784,8159224,32,0,84204,23740,109164,7208,316072,1020,109,0.466447371084939,-0.0209973659195555,1.13032116547185,-1.50603455211786,12
172388,170340,32156,31912,200,46,4668632,99720,1117028,407624,893324,4668632,8159224,160,0,84208,23740,109052,7204,313720,1020,110,0.511897994260899,-0.225201810277873,0.407177508872886,-1.2140702122676,12
172388,170340,32156,31912,200,36,4668108,99816,1117028,407624,893428,4668108,8159224,144,0,84208,23740,109048,7208,315884,1020,111,0.590440958869905,-0.17623559199523,-0.0936271358433873,-1.03941726814707,8
