procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 506420  44208 1055452    0    0     0    16 1212  562  0  1 98  0  0  0
 0  0      0 506160  44208 1055452    0    0     0     0  619  266  0  1 99  0  0  0
 0  0      0 505932  44208 1055456    0    0     0     0 1119  363  0  2 98  0  0  0
 0  0      0 505832  44208 1055460    0    0     0     0  851  299  0  2 98  0  0  0
 3  0      0 506332  44208 1055460    0    0     0     0  945  308  0  2 98  0  0  0
 0  0      0 506304  44216 1055464    0    0     0    16  950  318  0  1 99  0  0  0
 2  0      0 504720  44216 1055464    0    0     0     0  902  310  0  1 99  0  0  0
 0  0      0 506620  44216 1055468    0    0     0     0 1044  338  0  2 98  0  0  0
 0  0      0 505872  44216 1055468    0    0     0     0 1067  316  0  1 98  0  0  0
 0  0      0 506308  44216 1055472    0    0     0     0  642  260  0  1 99  0  0  0
 0  0      0 502508  44224 1055472    0    0     0    84  840  295  0  1 99  0  0  0
 0  0      0 506524  44224 1055476    0    0     0     0  879  317  0  1 99  0  0  0
 0  0      0 505752  44224 1055476    0    0     0     0 1074  360  0  2 98  0  0  0
 0  0      0 506312  44224 1055480    0    0     0     0  711  253  0  1 99  0  0  0
 1  0      0 499944  44224 1055480    0    0     0     0 1131  324  0  2 98  0  0  0
 0  0      0 506336  44232 1055484    0    0     0    16  611  256  0  1 99  0  0  0
 0  0      0 505956  44232 1055484    0    0     0     0  963  292  0  1 99  0  0  0
 0  0      0 506444  44232 1055488    0    0     0    72 1033  363  0  2 98  0  0  0
 2  0      0 499252  44232 1055492    0    0     0     0  941  291  0  2 98  0  0  0
 0  0      0 506488  44232 1055492    0    0     0     0  772  262  0  1 99  0  0  0
 1  0      0 503916  44240 1055488    0    0     0    24  894  292  0  1 99  0  0  0
 0  0      0 506548  44248 1055496    0    0     0    32  928  348  0  1 98  0  0  0
 0  1      0 485552  44272 1055664    0    0   200    32 1373  490  1  2 96  0  0  0
 0  0      0 504224  44280 1056988    0    0  1144     0 1052  475  1  1 98  0  0  0
 0  0      0 504080  44280 1056992    0    0     0     8 1104  370  0  2 98  0  0  0
 0  0      0 506172  44280 1056992    0    0     0     0  777  282  0  1 98  0  0  0
 0  0      0 507068  44280 1056996    0    0     0     0 1055  333  0  2 98  0  0  0
 0  0      0 506964  44280 1056996    0    0     0     0  946  351  0  2 98  0  0  0
 0  0      0 506252  44288 1057004    0    0     0    36 1044  334  0  2 98  0  0  0
 0  0      0 506132  44288 1057108    0    0   104     0  772  305  0  1 99  0  0  0
 0  0      0 505668  44288 1057112    0    0     0    20 1427  531  1  3 96  0  0  0
 0  0      0 505936  44288 1057108    0    0     0     0  788  301  0  1 99  0  0  0
 0  0      0 503904  44288 1057112    0    0     0     0 1113  343  0  2 98  0  0  0
 0  0      0 509692  44296 1057116    0    0     0    28  808  297  0  1 99  0  0  0
 0  0      0 509764  44296 1057116    0    0     0     0  884  319  0  1 99  0  0  0
 0  0      0 509408  44296 1057120    0    0     0     0  630  230  0  1 99  0  0  0
 0  0      0 509624  44296 1057120    0    0     0     0  937  317  0  1 99  0  0  0
