procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1039100  43440 1071160    0    0     0     0  698  323  0  0 100  0  0  0
 0  0      0 1039568  43440 1071160    0    0     0   120 1089  226  0  0 100  0  0  0
 0  0      0 1039084  43448 1071156    0    0     0    32  617  279  0  0 100  0  0  0
 0  0      0 1043772  43448 1071160    0    0     0     0  684  235  0  0 100  0  0  0
 0  0      0 1043844  43448 1071160    0    0     0     0  530  232  0  0 100  0  0  0
 0  0      0 1041160  43448 1071172    0    0     0     0  878  324  0  1 99  0  0  0
 0  0      0 1042504  43448 1071168    0    0     0     0 1099  474  0  1 99  0  0  0
 0  0      0 1042692  43460 1071172    0    0     0    76  735  281  0  0 99  0  0  0
 0  0      0 1043300  43460 1071172    0    0     0    72 3290  298  0  0 100  0  0  0
 0  0      0 1043296  43460 1071172    0    0     0     0  736  222  0  0 100  0  0  0
 0  0      0 1043744  43460 1071176    0    0     0     0  972  380  0  1 99  0  0  0
 0  0      0 1043900  43460 1071180    0    0     0     0  916  286  0  1 99  0  0  0
 0  0      0 1044468  43460 1071180    0    0     0     0  803  287  0  0 100  0  0  0
 0  0      0 1043996  43468 1071184    0    0     0    36  563  219  0  0 100  0  0  0
 0  0      0 1043632  43468 1071184    0    0     0     0  763  280  0  1 99  0  0  0
 0  0      0 1044188  43468 1071188    0    0     0     0  908  336  0  0 99  0  0  0
 0  0      0 1043792  43468 1071188    0    0     0    64  777  340  0  0 100  0  0  0
 0  0      0 1043148  43468 1071196    0    0     0     0 3326  230  0  0 100  0  0  0
 0  0      0 1043572  43476 1071200    0    0     0    28  730  290  0  0 100  0  0  0
 0  0      0 1044268  43476 1071200    0    0     0     0  799  253  0  0 100  0  0  0
 0  0      0 1044112  43476 1071200    0    0     0     0  674  308  0  0 100  0  0  0
 0  0      0 1044272  43476 1071204    0    0     0     8  535  201  0  0 100  0  0  0
 0  0      0 1043804  43476 1071208    0    0     0     0  794  288  0  0 100  0  0  0
 0  0      0 1043716  43484 1071208    0    0     0    40  699  248  0  0 99  0  0  0
 0  0      0 1043716  43484 1071212    0    0     0     0 1201  268  0  0 100  0  0  0
 0  0      0 1043776  43484 1071212    0    0     0     0  638  275  0  0 100  0  0  0
 0  0      0 1043236  43484 1071216    0    0     0     0  797  292  0  0 100  0  0  0
 0  0      0 1043632  43484 1071216    0    0     0   176  636  225  0  0 100  0  0  0
 0  0      0 1043712  43492 1071212    0    0     0    28 4582  358  0  0 100  0  0  0
 0  0      0 1043720  43492 1071220    0    0     0     0 1538  324  0  1 99  0  0  0
 0  0      0 1037868  43492 1076248    0    0     0     0 1188  421  0  1 99  0  0  0
 0  0      0 1027924  43492 1079088    0    0     0     0  676  225  0  0 100  0  0  0
 0  0      0 1027248  43492 1080048    0    0     0     0  613  255  0  0 100  0  0  0
 0  0      0 1029140  43500 1080048    0    0     0    40  625  284  0  0 100  0  0  0
 0  0      0 1028976  43500 1080704    0    0     0     0  573  256  0  0 100  0  0  0
 0  0      0 1028436  43500 1080704    0    0     0     0  820  365  0  0 100  0  0  0
 0  0      0 1028384  43500 1080704    0    0     0     0  558  249  0  0 100  0  0  0
 0  0      0 1028572  43500 1080708    0    0     0     0  622  260  0  0 100  0  0  0
 0  0      0 1028336  43508 1080704    0    0     0    36  603  265  0  0 100  0  0  0
 0  0      0 1028388  43508 1080704    0    0     0    68  667  286  0  0 100  0  0  0
 0  0      0 1027668  43508 1080716    0    0     0     0  917  377  0  0 100  0  0  0
 0  0      0 1027736  43508 1080716    0    0     0     0  615  274  0  0 100  0  0  0
 0  0      0 1028424  43508 1080720    0    0     0     0  704  290  0  0 100  0  0  0
 0  0      0 1027908  43516 1080720    0    0     0    36  646  268  0  0 100  0  0  0
 0  0      0 1027800  43516 1080724    0    0     0     0  901  595  0  0 100  0  0  0
 0  0      0 1025208  43516 1080728    0    0     0     0  956  461  0  1 99  0  0  0
 0  0      0 1025504  43516 1080764    0    0     0     0  689  293  0  0 100  0  0  0
 0  0      0 1025180  43516 1080764    0    0     0     8  369  181  0  0 100  0  0  0
 0  0      0 1025148  43524 1080764    0    0     0   120  505  229  0  0 100  0  0  0
 0  0      0 1025640  43524 1080764    0    0     0     0  611  248  0  0 100  0  0  0
 0  0      0 1025224  43524 1080768    0    0     0     0  621  315  0  0 100  0  0  0
 0  0      0 1025356  43524 1080772    0    0     0     0  493  222  0  0 100  0  0  0
 0  0      0 1025720  43524 1080772    0    0     0     0  606  236  0  0 100  0  0  0
 0  0      0 1025188  43532 1080776    0    0     0    28  576  260  0  0 100  0  0  0
 0  0      0 1026416  43532 1080776    0    0     0     0  764  281  0  0 99  0  0  0
 0  0      0 1025336  43532 1080776    0    0     0     0  685  324  0  0 99  0  0  0
