procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 505628  44292 1063132    0    0     0    16  720  298  0  1 99  0  0  0
 0  0      0 505212  44292 1063132    0    0     0     0  645  260  0  0 100  0  0  0
 0  0      0 505484  44292 1063136    0    0     0     0  710  273  0  0 99  0  0  0
 0  0      0 505660  44292 1063136    0    0     0     0  572  239  0  1 99  0  0  0
 0  0      0 505364  44292 1063140    0    0     0     0  616  255  0  1 99  0  0  0
 0  0      0 504612  44300 1063148    0    0     0    16  557  252  0  0 99  0  0  0
 0  0      0 504476  44300 1063152    0    0     0    20  706  312  0  1 99  0  0  0
 0  0      0 504756  44300 1063152    0    0     0     0  662  349  0  1 99  0  0  0
 0  0      0 505140  44300 1063156    0    0     0     0  516  246  0  0 100  0  0  0
 0  0      0 505696  44300 1063160    0    0     0     0  763  285  0  1 99  0  0  0
 0  0      0 505876  44300 1063160    0    0     0     0  856  328  0  1 99  0  0  0
 0  0      0 506320  44312 1063164    0    0     0    88  917  340  0  1 99  0  0  0
 0  0      0 506468  44312 1063164    0    0     0     0  645  255  0  1 99  0  0  0
 0  0      0 506016  44312 1063168    0    0     0     0  935  334  0  1 99  0  0  0
 0  0      0 506008  44312 1063168    0    0     0     0  685  299  0  0 100  0  0  0
 0  0      0 506568  44312 1063172    0    0     0     0  712  275  0  1 99  0  0  0
 0  0      0 506012  44324 1063176    0    0     0    44  887  361  0  1 99  0  0  0
 0  0      0 506060  44324 1063176    0    0     0     0  744  268  0  0 99  0  0  0
 0  0      0 506236  44324 1063180    0    0     0     0  828  313  0  1 99  0  0  0
 0  0      0 505880  44324 1063180    0    0     0     0  706  252  0  1 99  0  0  0
 0  0      0 505212  44324 1063180    0    0     0     0  847  289  0  1 99  0  0  0
 0  0      0 505388  44332 1063184    0    0     0    28  835  334  0  1 99  0  0  0
 0  0      0 504844  44332 1063188    0    0     0     0  647  278  0  1 99  0  0  0
 0  0      0 505516  44332 1063188    0    0     0     0  805  294  0  1 99  0  0  0
 0  0      0 505580  44332 1063188    0    0     0     0  607  252  0  0 100  0  0  0
 0  0      0 505916  44332 1063188    0    0     0     0  733  266  0  1 99  0  0  0
 0  0      0 505076  44340 1063196    0    0     0    16  825  334  0  1 99  0  0  0
 0  0      0 505732  44340 1063196    0    0     0     0  680  269  0  1 99  0  0  0
 0  0      0 504784  44340 1063200    0    0     0     0  831  315  0  1 99  0  0  0
 0  0      0 504960  44340 1063204    0    0     0     0  786  271  0  1 99  0  0  0
 0  0      0 505452  44340 1063204    0    0     0     0  668  287  0  1 99  0  0  0
 0  0      0 505104  44348 1063208    0    0     0    16  795  301  0  1 99  0  0  0
 0  0      0 505836  44348 1063212    0    0     0     0  739  261  0  1 99  0  0  0
 0  0      0 506416  44348 1063216    0    0     0     0  551  238  0  0 100  0  0  0
 0  0      0 506256  44348 1063216    0    0     0     0  720  266  0  1 99  0  0  0
 0  0      0 506200  44348 1063216    0    0     0     0  781  280  0  1 99  0  0  0
 0  0      0 504696  44356 1063220    0    0     0    20  671  290  0  1 99  0  0  0
 0  0      0 505464  44356 1063224    0    0     0     0  605  246  0  0 99  0  0  0
 0  0      0 505832  44356 1063224    0    0     0     0  758  310  0  1 99  0  0  0
 0  0      0 505804  44356 1063228    0    0     0     0  706  250  0  1 99  0  0  0
 0  0      0 505196  44356 1063228    0    0     0     0  509  240  0  0 100  0  0  0
 0  0      0 505172  44364 1063232    0    0     0    44  759  290  0  1 99  0  0  0
 0  0      0 505848  44364 1063232    0    0     0    68  752  286  0  1 99  0  0  0
 0  0      0 505448  44364 1063236    0    0     0     0  707  270  0  0 99  0  0  0
 0  0      0 505104  44364 1063236    0    0     0     0  622  249  0  1 99  0  0  0
 0  0      0 505152  44364 1063240    0    0     0     0  893  318  0  1 99  0  0  0
 0  0      0 505608  44372 1063232    0    0     0    24  957  515  0  1 99  0  0  0
 0  0      0 505324  44372 1063244    0    0     0     4 2584  272  0  1 99  0  0  0
 0  0      0 505248  44372 1063248    0    0     0     0  658  271  0  1 99  0  0  0
 0  0      0 504876  44372 1063248    0    0     0     0  625  237  0  1 99  0  0  0
