r,b,free,buff,cache,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Cluster
0,0,522308,44720,1061496,0,0,600,247,0,0,99,0,"-2,611484093","-0,075926113","1,9214594523","0,4192610222","-0,203821651","0,2798082209","0,7169427646","-0,846273056",8
0,0,522064,44720,1061500,0,0,807,278,0,1,99,0,"-1,146544474","-0,150691067","0,8403938974","-0,033947857","-0,65737462","0,1997665853","0,738406636","0,4437884913",3
0,0,521428,44720,1061500,0,0,828,310,0,1,99,0,"-0,965361557","-0,106499108","0,8411582598","-0,042178691","-0,651779165","0,2005869906","0,697256519","0,3454632565",3
0,0,521964,44728,1061500,0,16,841,295,0,1,98,0,"-0,190634667","-0,101897237","1,0271673043","-0,088492863","-0,517241075","-0,028408453","0,6507871583","0,8795932111",3
0,0,522484,44728,1061504,0,0,1061,323,0,2,98,0,"1,1992567118","-0,161645834","-0,254797527","-0,604184876","-1,268142656","0,1869259521","0,9820672042","2,0269795578",1
0,0,522260,44728,1061504,0,0,677,244,0,1,99,0,"-1,591729846","-0,268621709","0,9152062104","0,0330604797","-0,597917903","0,187044238","0,7892599942","0,468210862",3
2,0,513392,44728,1061508,0,4,742,299,0,1,99,0,"-0,775729055","-0,346192919","-0,11438838","-0,610081976","3,3447300593","1,7100364896","1,6349122859","0,1072237789",5
0,0,522492,44728,1061508,0,0,798,264,0,1,99,0,"-1,231873929","-0,156264969","0,8510761176","-0,032308575","-0,665500975","0,2021021466","0,7673249765","0,5011822022",3
0,0,522292,44736,1061508,0,16,870,302,0,1,99,0,"-0,846064017","-0,057118445","1,0853207718","-0,023230806","-0,436542977","-0,070257042","0,478494008","0,6633146226",3
0,0,521404,44736,1061512,0,0,852,282,0,1,99,0,"-1,005699732","-0,09183815","0,7498488501","-0,050377436","-0,653660135","0,1942506512","0,6774148013","0,4091322682",3
0,0,521188,44736,1061512,0,0,674,254,0,1,99,0,"-1,534045665","-0,254403799","0,8570502882","0,0442290707","-0,559284923","0,1743698519","0,7189275963","0,3678678369",3
0,0,520924,44736,1061516,0,0,632,243,0,1,99,0,"-1,667366632","-0,29808491","0,8557358693","0,0694258936","-0,527795418","0,1652598316","0,7120753015","0,349384196",3
0,0,521684,44736,1061516,0,0,969,312,0,1,99,0,"-0,622765205","0,0278958644","0,7162944779","-0,11569852","-0,72406713","0,2127092176","0,6639628369","0,4262187822",3
0,0,521900,44744,1061520,0,16,555,216,0,1,99,0,"-1,908130099","-0,368511849","1,1912731911","0,1492016446","-0,258957014","-0,11562209","0,5385217282","0,6575821727",3
0,0,521812,44744,1061520,0,0,740,277,0,1,99,0,"-1,313266998","-0,165447891","0,8877642571","0,001294917","-0,618139796","0,1939033733","0,7468245594","0,4055955059",3
0,0,522044,44744,1061520,0,0,796,276,0,1,99,0,"-1,185780883","-0,123221342","0,8446200571","-0,028811535","-0,651228016","0,1997599937","0,7417852564","0,4490034847",3
0,0,522480,44744,1061524,0,0,842,316,0,1,99,0,"-0,948152212","-0,04555185","0,9205830249","-0,061988698","-0,698959022","0,2199787253","0,769569589","0,4305344805",3
0,0,522048,44744,1061524,0,0,1031,309,0,2,98,0,"1,0864959505","-0,174936941","-0,289826376","-0,583243707","-1,234661647","0,1759178628","0,9583949832","2,0106850581",1
0,0,521528,44752,1061532,0,16,644,250,0,1,99,0,"-1,562541817","-0,256807201","1,145015397","0,1038487468","-0,293743157","-0,10655536","0,4915395321","0,607416494",3
0,0,521720,44752,1061532,0,0,635,232,0,0,100,0,"-3,305830741","-0,015707955","1,8507527126","0,4935634958","-0,085321487","0,2197430552","0,4712182355","-1,084269232",8
0,0,521192,44752,1061536,0,0,818,300,0,1,98,0,"-0,28608479","-0,075524307","0,7610587478","-0,118823591","-0,743403662","0,2461914397","0,8699504533","0,5952952287",3
0,0,521716,44752,1061536,0,0,743,287,0,1,99,0,"-1,270580157","-0,140220554","0,8991531143","-0,00091009","-0,618605671","0,1959831463","0,7428539754","0,3840085297",3
0,0,521884,44752,1061536,0,0,811,325,0,1,99,0,"-0,977428538","-0,050080897","0,9266355942","-0,041855693","-0,665479875","0,2127161117","0,742848044","0,3574234513",3
0,0,522040,44760,1061528,0,16,820,301,0,1,99,0,"-0,970896579","-0,059167897","1,1147954171","0,0035771839","-0,404803255","-0,075298089","0,480531338","0,6322530539",3
0,0,522140,44760,1061544,0,0,784,272,0,1,99,0,"-1,236021707","-0,109451815","0,854626691","-0,023893824","-0,64834762","0,2003892802","0,7523640333","0,4638601648",3
0,0,521908,44760,1061544,0,0,690,250,0,1,99,0,"-1,536256685","-0,203273315","0,8857320304","0,0283487169","-0,592083826","0,1860637864","0,7633830689","0,4458100521",3
0,0,522508,44760,1061548,0,56,813,355,0,1,99,0,"-0,633063352","-0,014819462","1,8802369437","0,1151647034","0,2255276097","-0,763857053","-0,11966644","1,1018981285",3
1,0,518636,44760,1061552,0,0,1007,304,0,1,98,0,"0,3583326313","0,0038714732","0,1440534748","-0,540981483","1,0622985881","1,0723088389","1,3909304469","0,6452910315",6
0,0,521896,44768,1061544,0,40,741,311,0,1,99,0,"-1,018558534","-0,101211906","1,5686607308","0,1150878372","0,0284963893","-0,504337739","0,1110037052","0,8923013155",3
0,0,521564,44768,1061552,0,0,706,242,0,1,99,0,"-1,515836893","-0,188686515","0,8235466509","0,024926842","-0,584031918","0,179902616","0,7307086682","0,4426195174",3
0,0,521988,44768,1061556,0,0,932,327,0,1,98,0,"0,0594977876","0,0674656281","0,7631643401","-0,188264821","-0,830939636","0,2722178522","0,8937628038","0,6620155838",3
0,0,521804,44768,1061556,0,0,756,298,0,1,99,0,"-1,207348558","-0,093056556","0,9162361031","-0,010436383","-0,630662684","0,2020243809","0,7489497688","0,3817901448",3
0,0,521968,44768,1061560,0,0,885,326,0,1,99,0,"-0,798191653","0,0329432045","0,8564896322","-0,080194068","-0,70146308","0,2187683727","0,722103994","0,3984414601",3
0,0,521040,44776,1061560,0,16,868,383,0,1,98,0,"0,1948487713","0,0790375743","1,122968558","-0,106348487","-0,519042263","-0,012606004","0,6097169204","0,676356133",3
0,0,521628,44776,1061560,0,0,651,253,0,1,99,0,"-1,617439601","-0,205595998","0,9108692178","0,0496882974","-0,565242661","0,1818292661","0,7602594463","0,407395896",3
